locationLabel;regionLabel;geoloc
Potštejn;okres Rychnov nad Kněžnou;Point(16.308981774 50.082122857)
Sádek;okres Svitavy;Point(16.225667888 49.692598239)
Záblatí;okres Prachatice;Point(13.931302265 48.998638443)
Vidonín;okres Žďár nad Sázavou;Point(16.222468222 49.37977719)
Kotlasy;okres Žďár nad Sázavou;Point(15.94613042 49.492753145)
Nížkov;okres Žďár nad Sázavou;Point(15.805877955 49.53260909)
Bechyně;okres Tábor;Point(14.468125123 49.295309165)
Jezdovice;okres Jihlava;Point(15.484180094 49.323154693)
Pavlínov;okres Žďár nad Sázavou;Point(15.878486335 49.348159084)
Brusné;okres Kroměříž;Point(17.660719079 49.363343105)
Kadov;okres Žďár nad Sázavou;Point(16.07925861 49.632604467)
Vidov;okres České Budějovice;Point(14.494655851 48.926822451)
Radňoves;okres Žďár nad Sázavou;Point(16.21399676 49.388652842)
Moravecké Pavlovice;okres Žďár nad Sázavou;Point(16.256349859 49.425469275)
Dobříš;okres Příbram;Point(14.167220871 49.781215974)
Kozlov;okres Žďár nad Sázavou;Point(16.078696088 49.379184014)
Krásněves;okres Žďár nad Sázavou;Point(15.981188733 49.444450668)
Nové Sady;okres Žďár nad Sázavou;Point(16.193339184 49.29372431)
Dlouhá Brtnice;okres Jihlava;Point(15.604187026 49.236125253)
Kundratice;okres Žďár nad Sázavou;Point(16.134185443 49.402621574)
Kadolec;okres Žďár nad Sázavou;Point(16.141760601 49.37474027)
Netín;okres Žďár nad Sázavou;Point(15.950731682 49.413053677)
Hlavňovice;okres Klatovy;Point(13.3950776 49.23794647)
Malá Losenice;okres Žďár nad Sázavou;Point(15.796639691 49.599972405)
Matějov;okres Žďár nad Sázavou;Point(15.863039874 49.528640664)
Milasín;okres Žďár nad Sázavou;Point(16.228835994 49.466273128)
Hybrálec;okres Jihlava;Point(15.55937544 49.427836969)
Křoví;okres Žďár nad Sázavou;Point(16.264267738 49.305995909)
Předslavice;okres Strakonice;Point(13.935072523 49.132121866)
Obrnice;okres Most;Point(13.695493948 50.505068361)
Karlov;okres Žďár nad Sázavou;Point(15.914476611 49.647047359)
Morašice;okres Svitavy;Point(16.233650146 49.867734359)
Martinice;okres Žďár nad Sázavou;Point(16.038231687 49.371725382)
Osek;okres Strakonice;Point(13.963216048 49.318390534)
České Budějovice;okres České Budějovice;Point(14.474722222 48.974722222)
Hracholusky;okres Prachatice;Point(14.088549875 49.058881225)
Lažany;okres Strakonice;Point(13.883164127 49.362933739)
Nyklovice;okres Žďár nad Sázavou;Point(16.344978479 49.603909099)
Frýdek-Místek;okres Frýdek-Místek;Point(18.353611111 49.688055555)
Pardubice;okres Pardubice;Point(15.77916 50.03861)
Moravec;okres Žďár nad Sázavou;Point(16.143340857 49.440141455)
Nové Dvory;okres Žďár nad Sázavou;Point(15.808904638 49.564427788)
Olomouc;okres Olomouc;Point(17.250833333 49.593888888)
Radenice;okres Žďár nad Sázavou;Point(16.064601019 49.427256714)
Chotovice;okres Svitavy;Point(16.171302448 49.851088253)
Jabloňov;okres Žďár nad Sázavou;Point(16.089684456 49.324052839)
Křídla;okres Žďár nad Sázavou;Point(16.122381817 49.52726732)
Vinary;okres Ústí nad Orlicí;Point(16.060336412 49.959145686)
Radešínská Svratka;okres Žďár nad Sázavou;Point(16.08507253 49.508484489)
Znětínek;okres Žďár nad Sázavou;Point(15.926572418 49.469595997)
Vlachovice;okres Žďár nad Sázavou;Point(16.041200922 49.597074223)
Jivina;okres Mladá Boleslav;Point(14.947251808 50.554178833)
Roudnice nad Labem;okres Litoměřice;Point(14.261840817 50.42536108)
Ostrava;okres Ostrava-město;Point(18.2925 49.835555555)
Praha;Česko;Point(14.416666666 50.083333333)
Mirošov;okres Žďár nad Sázavou;Point(16.155575382 49.465633983)
Škrdlovice;okres Žďár nad Sázavou;Point(15.925975208 49.634714291)
Milešín;okres Žďár nad Sázavou;Point(16.201582884 49.368438888)
Radějovice;okres Strakonice;Point(14.026461105 49.186352996)
Račín;okres Žďár nad Sázavou;Point(15.866900385 49.61751603)
Zadní Zhořec;okres Žďár nad Sázavou;Point(15.939235054 49.431116348)
Nová Ves u Nového Města na Moravě;okres Žďár nad Sázavou;Point(16.084136312 49.539967459)
Sulkovec;okres Žďár nad Sázavou;Point(16.309608922 49.609363955)
Jersín;okres Jihlava;Point(15.830694612 49.421301835)
Křižánky;okres Žďár nad Sázavou;Point(16.06484166 49.685923957)
Nový Jimramov;okres Žďár nad Sázavou;Point(16.187251143 49.634658167)
Radostín;okres Žďár nad Sázavou;Point(15.875806366 49.652758124)
Vokov;okres Pelhřimov;Point(15.219813757 49.395588192)
Vysoké;okres Žďár nad Sázavou;Point(15.965248849 49.581841326)
Petráveč;okres Žďár nad Sázavou;Point(16.041169393 49.327518805)
Vatín;okres Žďár nad Sázavou;Point(15.967251652 49.524977685)
Písečné;okres Žďár nad Sázavou;Point(16.236692621 49.56794202)
Skřinářov;okres Žďár nad Sázavou;Point(16.172020427 49.347083462)
Kněževes;okres Žďár nad Sázavou;Point(15.980851329 49.456519789)
Vlkov;okres Žďár nad Sázavou;Point(16.200312393 49.324415551)
Lom;okres Strakonice;Point(13.989020872 49.410533776)
Nový Jičín;okres Nový Jičín;Point(18.010308756 49.594368444)
Bohy;okres Plzeň-sever;Point(13.575731918 49.937993412)
Krásné;okres Žďár nad Sázavou;Point(16.145046451 49.677888706)
Jívoví;okres Žďár nad Sázavou;Point(16.090768149 49.405408279)
Brno;okres Brno-město;Point(16.608333333 49.195277777)
Plzeň;okres Plzeň-město;Point(13.3825 49.741388888)
Javorek;okres Žďár nad Sázavou;Point(16.17380774 49.650216759)
Vinařice;okres Mladá Boleslav;Point(14.952361503 50.373872214)
Hubenov;okres Jihlava;Point(15.469051391 49.392144794)
Dětřichov;okres Svitavy;Point(16.532645222 49.799998994)
Jámy;okres Žďár nad Sázavou;Point(16.00616174 49.530361279)
Nová Ves;okres Žďár nad Sázavou;Point(16.196306572 49.391043874)
Němčice;okres Svitavy;Point(16.343265415 49.890611938)
Kuklík;okres Žďár nad Sázavou;Point(16.113183505 49.629959994)
Kyjov;okres Žďár nad Sázavou;Point(15.881583886 49.4434872)
Pokojov;okres Žďár nad Sázavou;Point(15.906570743 49.481674346)
Vrbice;okres Prachatice;Point(13.715807839 49.14137176)
Věchnov;okres Žďár nad Sázavou;Point(16.279017536 49.499398654)
Meziříčko;okres Žďár nad Sázavou;Point(15.844539303 49.40542953)
Hodkovice nad Mohelkou;okres Liberec;Point(15.089953935 50.66592014)
Hajany;okres Strakonice;Point(13.836038742 49.446757054)
Mažice;okres Tábor;Point(14.612837783 49.213572068)
Jamné;okres Jihlava;Point(15.723875298 49.431178674)
Koroužné;okres Žďár nad Sázavou;Point(16.347666728 49.527506265)
Kynšperk nad Ohří;okres Sokolov;Point(12.530346195 50.11904582)
Zelená Hora;okres Vyškov;Point(17.013735387 49.329000773)
Hroznatín;okres Třebíč;Point(15.908290766 49.297782208)
Horní Vilémovice;okres Třebíč;Point(15.88082854 49.29160366)
vojenský újezd Libavá;okres Olomouc;Point(17.530833333 49.666777777)
Jakubov u Moravských Budějovic;okres Třebíč;Point(15.761428735 49.08106002)
Hartvíkovice;okres Třebíč;Point(16.090349881 49.171137845)
Znojmo;správní obvod obce s rozšířenou působností Znojmo;Point(16.048796054 48.855540667)
Halže;okres Tachov;Point(12.579452877 49.831140587)
Kojetice;okres Třebíč;Point(15.818055096 49.157869696)
Kojatice;okres Třebíč;Point(15.703128538 48.998895375)
Kostníky;okres Třebíč;Point(15.639813176 48.974756562)
Horní Smrčné;okres Třebíč;Point(15.756120884 49.328635313)
Šebetov;správní obvod obce s rozšířenou působností Boskovice;Point(16.711656777 49.548643397)
Český Krumlov;okres Český Krumlov;Point(14.31520771 48.810990441)
Kožichovice;okres Třebíč;Point(15.921938838 49.199905323)
Znojmo;okres Znojmo;Point(16.048796054 48.855540667)
Kdousov;okres Třebíč;Point(15.647305971 48.986023877)
Zhoř;okres Jihlava;Point(15.771376379 49.442645628)
Zlámanec;okres Uherské Hradiště;Point(17.628207886 49.129858173)
Senetářov;správní obvod obce s rozšířenou působností Blansko;Point(16.803907963 49.354703658)
Krhov;okres Třebíč;Point(16.01942155 49.100377926)
Bravantice;okres Nový Jičín;Point(18.082796822 49.757110713)
Zliv;okres České Budějovice;Point(14.366147357 49.066163345)
Konstantinovy Lázně;okres Tachov;Point(12.977932291 49.881263158)
Klučov;okres Třebíč;Point(15.935093949 49.167035753)
Zlatá Koruna;okres Český Krumlov;Point(14.369541818 48.85485028)
Šebetov;okres Blansko;Point(16.711656777 49.548643397)
Jihlava;okres Jihlava;Point(15.590555555 49.400277777)
Velké Hostěrádky;okres Břeclav;Point(16.870235414 49.033160168)
Nové Hutě;okres Prachatice;Point(13.645671369 49.038793061)
Kladeruby nad Oslavou;okres Třebíč;Point(16.171780111 49.14484778)
Tachov;okres Tachov;Point(12.633709213 49.795398066)
Komárovice;okres Třebíč;Point(15.701016256 49.070036485)
Lipovec;správní obvod obce s rozšířenou působností Blansko;Point(16.805857364 49.383962517)
Zlatá;okres Praha-východ;Point(14.710108981 50.040297506)
Koněšín;okres Třebíč;Point(16.04121794 49.190532777)
Radošovice;okres České Budějovice;Point(14.272937443 49.019677135)
Zhoř;správní obvod obce s rozšířenou působností Tišnov;Point(16.478912508 49.414712043)
Valašská Polanka;okres Vsetín;Point(17.99668684 49.262144437)
Kněžice;okres Nymburk;Point(15.335437195 50.257265055)
Cheb;okres Cheb;Point(12.373995588 50.079759165)
Slavkov u Brna;správní obvod obce s rozšířenou působností Slavkov u Brna;Point(16.876504369 49.153275386)
Lichkov;okres Ústí nad Orlicí;Point(16.666077802 50.097801623)
Velké Hostěrádky;správní obvod obce s rozšířenou působností Hustopeče;Point(16.870235414 49.033160168)
Králova Lhota;okres Písek;Point(14.110585219 49.495788057)
Kamenná;okres Třebíč;Point(16.060405701 49.272468573)
Zemětice;okres Plzeň-jih;Point(13.186381461 49.578479308)
Zlonice;okres Kladno;Point(14.092220041 50.287581759)
Horní Heřmanice;okres Třebíč;Point(15.920410174 49.329396571)
Krásensko;správní obvod obce s rozšířenou působností Vyškov;Point(16.829895433 49.364556255)
Chlum;okres Třebíč;Point(15.767079484 49.313470436)
Zhoř;okres Brno-venkov;Point(16.478912508 49.414712043)
Kozlany;okres Třebíč;Point(16.061205645 49.179771644)
Chotěbudice;okres Třebíč;Point(15.57400814 49.058036658)
Jasenice;okres Třebíč;Point(16.163614426 49.25817743)
Hornice;okres Třebíč;Point(15.680369699 48.995236092)
Boršice u Blatnice;okres Uherské Hradiště;Point(17.575783744 48.932196302)
Veselá;okres Pelhřimov;Point(15.226763971 49.319118727)
Staré Hutě;okres Uherské Hradiště;Point(17.277744069 49.129123805)
Běleč nad Orlicí;okres Hradec Králové;Point(15.942774146 50.198022584)
Horní Beřkovice;okres Litoměřice;Point(14.346565481 50.35876544)
Senetářov;okres Blansko;Point(16.803907963 49.354703658)
Hvězdoňovice;okres Třebíč;Point(15.762233855 49.219957439)
Zhořec;okres Pelhřimov;Point(14.962488563 49.489703057)
Karviná;okres Karviná;Point(18.542777777 49.854166666)
Kojatín;okres Třebíč;Point(16.01019213 49.242647247)
Zlaté Hory;okres Jeseník;Point(17.396090652 50.263803148)
Zlatá Olešnice;okres Trutnov;Point(15.944878426 50.617730064)
Zlátenka;okres Pelhřimov;Point(15.058587187 49.423514132)
Biskupice;okres Zlín;Point(17.710423028 49.08311009)
Libňatov;okres Trutnov;Point(16.002283457 50.481375801)
Žíšov;okres Tábor;Point(14.69339921 49.200016325)
Lipovec;okres Blansko;Point(16.805857364 49.383962517)
Zlatá Olešnice;okres Jablonec nad Nisou;Point(15.353612376 50.708598814)
Zlobice;okres Kroměříž;Point(17.312625106 49.301827966)
Hluboké;okres Třebíč;Point(16.227521045 49.22596954)
Jabkenice;okres Mladá Boleslav;Point(15.014856788 50.324128222)
